LAST SEEN   TYPE      REASON                         OBJECT                                                   MESSAGE
46m         Normal    Scheduled                      pod/health-identity-asset-service-33624446793-1-1        Successfully assigned aituan/health-identity-asset-service-33624446793-1-1 to izj6c1l84z55xbo85st14pz
15m         Normal    Scheduled                      pod/engagement-platform-service-7b6df4855b-2sb8h         Successfully assigned aituan/engagement-platform-service-7b6df4855b-2sb8h to izj6c1l84z55xbo85st14pz
34m         Normal    Scheduled                      pod/trade-fulfillment-service-b94c4db85-8vgkg            Successfully assigned aituan/trade-fulfillment-service-b94c4db85-8vgkg to izj6c1l84z55xbo85st14pz
15m         Normal    Scheduled                      pod/engagement-platform-service-7b6df4855b-5h89f         Successfully assigned aituan/engagement-platform-service-7b6df4855b-5h89f to izj6c1l84z55xbo85st14pz
9m32s       Normal    Scheduled                      pod/identity-asset-service-8648977489-tffdj              Successfully assigned aituan/identity-asset-service-8648977489-tffdj to izj6c1l84z55xbo85st14pz
9m48s       Normal    Scheduled                      pod/merchant-catalog-service-568bf45885-6fzd4            Successfully assigned aituan/merchant-catalog-service-568bf45885-6fzd4 to izj6c1l84z55xbo85st14pz
3m12s       Normal    Scheduled                      pod/aituan-hpa-load-1788351408-v66s9                     Successfully assigned aituan/aituan-hpa-load-1788351408-v66s9 to izj6c1l84z55xbo85st14pz
46m         Normal    Scheduled                      pod/wait-mysql-smoke-1788348829                          Successfully assigned aituan/wait-mysql-smoke-1788348829 to izj6c1l84z55xbo85st14pz
15m         Normal    Scheduled                      pod/version-trade-fulfillment-service-33627149918-1      Successfully assigned aituan/version-trade-fulfillment-service-33627149918-1 to izj6c1l84z55xbo85st14pz
2m32s       Normal    Scheduled                      pod/merchant-catalog-service-568bf45885-cpr7h            Successfully assigned aituan/merchant-catalog-service-568bf45885-cpr7h to izj6c1l84z55xbo85st14pz
9m17s       Normal    Scheduled                      pod/merchant-catalog-service-568bf45885-f9z8f            Successfully assigned aituan/merchant-catalog-service-568bf45885-f9z8f to izj6c1l84z55xbo85st14pz
17m         Normal    Scheduled                      pod/aituan-web-59b75c5cfd-r6znv                          Successfully assigned aituan/aituan-web-59b75c5cfd-r6znv to izj6c1l84z55xbo85st14pz
17m         Normal    Scheduled                      pod/merchant-catalog-service-568bf45885-m9l55            Successfully assigned aituan/merchant-catalog-service-568bf45885-m9l55 to izj6c1l84z55xbo85st14pz
2m46s       Normal    Scheduled                      pod/identity-asset-service-8648977489-t2s5t              Successfully assigned aituan/identity-asset-service-8648977489-t2s5t to izj6c1l84z55xbo85st14pz
2m47s       Normal    Scheduled                      pod/merchant-catalog-service-568bf45885-mjkjh            Successfully assigned aituan/merchant-catalog-service-568bf45885-mjkjh to izj6c1l84z55xbo85st14pz
9m48s       Normal    Scheduled                      pod/merchant-catalog-service-568bf45885-pzvks            Successfully assigned aituan/merchant-catalog-service-568bf45885-pzvks to izj6c1l84z55xbo85st14pz
2m47s       Normal    Scheduled                      pod/merchant-catalog-service-568bf45885-t646w            Successfully assigned aituan/merchant-catalog-service-568bf45885-t646w to izj6c1l84z55xbo85st14pz
34m         Normal    Scheduled                      pod/engagement-platform-service-57c9877df4-xxt4j         Successfully assigned aituan/engagement-platform-service-57c9877df4-xxt4j to izj6c1l84z55xbo85st14pz
17m         Normal    Scheduled                      pod/trade-fulfillment-service-b94c4db85-t9npq            Successfully assigned aituan/trade-fulfillment-service-b94c4db85-t9npq to izj6c1l84z55xbo85st14pz
